datetime,generation_mw,hour,dayofweek,month,lag_1,lag_24,lag_168,rolling_mean_24,XGBoost_Pred,LSTM_Pred
2023-06-07 10:00:00,12052.0,10,2,6,11683.0,12010.0,12022.0,12154.208333333334,11748.023,13746.014
2023-06-07 11:00:00,12407.0,11,2,6,12052.0,12166.0,12326.0,12155.958333333334,12065.484,13825.291
2023-06-07 12:00:00,12490.0,12,2,6,12407.0,12150.0,12347.0,12166.0,12313.546,13981.857
2023-06-07 13:00:00,12463.0,13,2,6,12490.0,12119.0,12441.0,12180.166666666666,12383.945,14118.375
2023-06-07 14:00:00,11610.0,14,2,6,12463.0,12044.0,12454.0,12194.5,12376.59,14190.318
2023-06-07 15:00:00,11220.0,15,2,6,11610.0,11458.0,12527.0,12176.416666666666,11569.09,13987.297
2023-06-07 16:00:00,11890.0,16,2,6,11220.0,11481.0,12329.0,12166.5,11234.062,13796.146
2023-06-07 17:00:00,12032.0,17,2,6,11890.0,11279.0,12172.0,12183.541666666666,11771.042,13629.678
2023-06-07 18:00:00,13626.0,18,2,6,12032.0,13139.0,13961.5,12214.916666666666,12878.847,13719.012
2023-06-07 19:00:00,13609.0,19,2,6,13626.0,13154.0,14158.0,12235.208333333334,13433.005,13720.549
2023-06-07 20:00:00,13898.0,20,2,6,13609.0,13763.0,14368.0,12254.166666666666,13731.689,13703.079
2023-06-07 21:00:00,13796.0,21,2,6,13898.0,13734.0,13888.0,12259.791666666666,14009.151,13658.816
2023-06-07 22:00:00,13087.0,22,2,6,13796.0,13743.0,13271.0,12262.375,13821.707,13598.517
2023-06-07 23:00:00,12438.0,23,2,6,13087.0,12893.0,12818.0,12235.041666666666,12953.745,13450.045
2023-06-08 00:00:00,11699.0,0,3,6,12438.0,12136.0,12087.0,12216.083333333334,12004.079,13109.167
2023-06-08 01:00:00,11484.0,1,3,6,11699.0,11698.0,11976.0,12197.875,11470.473,13185.209
2023-06-08 02:00:00,11422.0,2,3,6,11484.0,11777.0,12101.0,12188.958333333334,11414.848,13356.838
2023-06-08 03:00:00,11448.0,3,3,6,11422.0,11743.0,12084.0,12174.166666666666,11404.408,13533.109
2023-06-08 04:00:00,11271.0,4,3,6,11448.0,11697.0,11891.0,12161.875,11389.403,13566.302
2023-06-08 05:00:00,11321.0,5,3,6,11271.0,11590.0,11619.0,12144.125,10978.595,13588.694
2023-06-08 06:00:00,11306.0,6,3,6,11321.0,11344.0,11741.0,12132.916666666666,11176.227,13647.783
2023-06-08 07:00:00,11630.0,7,3,6,11306.0,11459.0,11744.0,12131.333333333334,11332.395,13660.588
2023-06-08 08:00:00,11917.0,8,3,6,11630.0,11441.0,11798.0,12138.458333333334,11671.645,13702.809
2023-06-08 09:00:00,12118.0,9,3,6,11917.0,11683.0,11719.0,12158.291666666666,11895.488,13751.369
2023-06-08 10:00:00,12671.0,10,3,6,12118.0,12052.0,11844.0,12176.416666666666,12108.03,13762.297
2023-06-08 11:00:00,12677.0,11,3,6,12671.0,12407.0,12349.0,12202.208333333334,12544.531,13809.818
2023-06-08 12:00:00,12562.0,12,3,6,12677.0,12490.0,12340.0,12213.458333333334,12541.02,13894.971
2023-06-08 13:00:00,12559.0,13,3,6,12562.0,12463.0,12255.0,12216.458333333334,12411.248,13981.414
2023-06-08 14:00:00,12339.0,14,3,6,12559.0,11610.0,12092.0,12220.458333333334,12297.536,14063.421
2023-06-08 15:00:00,11890.0,15,3,6,12339.0,11220.0,12101.0,12250.833333333334,12074.844,14021.48
2023-06-08 16:00:00,11842.0,16,3,6,11890.0,11890.0,12144.0,12278.75,11792.858,14092.826
2023-06-08 17:00:00,12094.0,17,3,6,11842.0,12032.0,12161.0,12276.75,11902.1875,14148.622
2023-06-08 18:00:00,14176.0,18,3,6,12094.0,13626.0,13879.5,12279.333333333334,12941.966,14436.494
2023-06-08 19:00:00,14655.0,19,3,6,14176.0,13609.0,13967.0,12302.25,13839.644,14498.564
2023-06-08 20:00:00,14639.0,20,3,6,14655.0,13898.0,14334.0,12345.833333333334,14110.8545,14578.767
2023-06-08 21:00:00,14226.0,21,3,6,14639.0,13796.0,14113.0,12376.708333333334,14046.874,14534.417
2023-06-08 22:00:00,13730.0,22,3,6,14226.0,13087.0,13115.0,12394.625,13510.424,14234.816
2023-06-08 23:00:00,12553.0,23,3,6,13730.0,12438.0,12528.0,12421.416666666666,13260.679,13931.826
2023-06-09 00:00:00,11679.0,0,4,6,12553.0,11699.0,12055.0,12426.208333333334,12018.669,12868.825
2023-06-09 01:00:00,11481.0,1,4,6,11679.0,11484.0,11937.0,12425.375,11371.033,12865.006
2023-06-09 02:00:00,11459.0,2,4,6,11481.0,11422.0,12032.0,12425.25,11249.831,13066.99
2023-06-09 03:00:00,11432.0,3,4,6,11459.0,11448.0,11999.0,12426.791666666666,11261.292,13287.184
2023-06-09 04:00:00,11403.0,4,4,6,11432.0,11271.0,11809.0,12426.125,11189.129,13357.936
2023-06-09 05:00:00,11270.0,5,4,6,11403.0,11321.0,11492.0,12431.625,11018.719,13429.465
2023-06-09 06:00:00,11192.0,6,4,6,11270.0,11306.0,11448.0,12429.5,11117.727,13523.933
2023-06-09 07:00:00,11187.0,7,4,6,11192.0,11630.0,11281.0,12424.75,11291.583,13629.942
2023-06-09 08:00:00,11089.0,8,4,6,11187.0,11917.0,11153.0,12406.291666666666,11435.366,13730.186
2023-06-09 09:00:00,11018.0,9,4,6,11089.0,12118.0,11236.0,12371.791666666666,11431.21,13809.17
2023-06-09 10:00:00,11078.0,10,4,6,11018.0,12671.0,11417.0,12325.958333333334,11635.882,13861.914
2023-06-09 11:00:00,11024.0,11,4,6,11078.0,12677.0,11960.0,12259.583333333334,11757.549,13912.035
2023-06-09 12:00:00,11137.0,12,4,6,11024.0,12562.0,12267.0,12190.708333333334,11672.785,13939.38
2023-06-09 13:00:00,10007.0,13,4,6,11137.0,12559.0,12079.0,12131.333333333334,11708.631,13943.895
2023-06-09 14:00:00,10184.0,14,4,6,10007.0,12339.0,11481.0,12025.0,10223.737,13819.31
2023-06-09 15:00:00,10114.0,15,4,6,10184.0,11890.0,11406.0,11935.208333333334,10306.392,13866.209
2023-06-09 16:00:00,9903.0,16,4,6,10114.0,11842.0,11488.0,11861.208333333334,10200.105,13884.451
2023-06-09 17:00:00,9754.0,17,4,6,9903.0,12094.0,11527.0,11780.416666666666,10728.01,13828.441
2023-06-09 18:00:00,11846.0,18,4,6,9754.0,14176.0,13677.5,11682.916666666666,11404.133,13794.649
2023-06-09 19:00:00,12242.0,19,4,6,11846.0,14655.0,14124.0,11585.833333333334,12360.845,13830.518
2023-06-09 20:00:00,12699.0,20,4,6,12242.0,14639.0,14377.0,11485.291666666666,12477.922,13959.668
2023-06-09 21:00:00,12662.0,21,4,6,12699.0,14226.0,14100.0,11404.458333333334,12726.65,14183.324
2023-06-09 22:00:00,12690.0,22,4,6,12662.0,13730.0,13166.0,11339.291666666666,12692.501,14164.201
2023-06-09 23:00:00,12568.0,23,4,6,12690.0,12553.0,12522.0,11295.958333333334,12390.744,13859.678
2023-06-10 00:00:00,11914.0,0,5,6,12568.0,11679.0,11964.0,11296.583333333334,12007.096,12655.826
2023-06-10 01:00:00,11384.0,1,5,6,11914.0,11481.0,11797.0,11306.375,11510.941,12542.463
